线路名称,线路类型,运行时间,总里程,公交公司,正向路线,反向路线
23路(岳尔庄西--陡沟),普通公交,,3.66492,济南公交集团通勤与定制巴士分公司,"岳尔庄西,党家庄,党家街道办事处东,党家街道办事处,
黄山店,陡沟","陡沟,黄山店,党家街道办事处,党家街道办事处东,
党家庄,岳尔庄西"
271路(济郑高铁长清站--地铁大学城站),普通公交,0610--2130,10.1,[],"济郑高铁长清站,中川街北门里街,文津苑小区,石麟山路中川街,
东北关馨苑小区,峰山路宾谷街,清河街峰山路,清河街五峰路,
长清区政府,清河街经十西路,清河街小学,文昌路宾谷街,
凤凰路大学路,八里庄,乐天小区,公交营运中心,
中医药大学,地铁大学城站","地铁大学城站,中医药大学,公交营运中心,乐天小区,
八里庄,凤凰路大学路,文昌路宾谷街,清河街小学,
清河街经十西路,长清区政府,清河街五峰路,清河街峰山路,
峰山路宾谷街,东北关馨苑小区,石麟山路中川街,文津苑小区,
中川街北门里街,济郑高铁长清站"
303路(燕山立交桥东--玉河泉),普通公交,,37.27619,济南公交集团东部公交第五分公司,"燕山立交桥东,经十路浆水泉路,经十路奥体西路2,省立医院东院区2,
人保大厦,经十路舜华路,北胡,田庄东,
邢村立交桥,邢村立交桥东,邢村,山青院,
力诺科技园,力诺集团,经十东路蟠龙路,经十东路七彩路,
东彩石,两岔河,彩石中学,塔窝,
大龙堂,大龙堂东,葫芦套,王家,
潘河崖,岔峪村,柳泉,中泉,
虎门,徐家场,玉河泉","玉河泉,徐家场,虎门,中泉,
柳泉,岔峪村,潘河崖,王家,
葫芦套,大龙堂东,大龙堂,塔窝,
彩石中学,两岔河,东彩石,经十东路七彩路,
经十东路蟠龙路,力诺集团,力诺科技园,山青院,
邢村,邢村立交桥东,邢村立交桥,田庄东,
北胡,经十路舜华路,人保大厦,省立医院东院区2,
经十路奥体西路2,经十路浆水泉路,燕山立交桥东"
305路(燕山立交桥东--南泉),普通公交,,28.18826,济南公交集团东部公交第五分公司,"燕山立交桥东,经十路浆水泉路,经十路奥体西路2,经十路舜华路,
北胡,田庄东,邢村立交桥,邢村立交桥东,
邢村,山青院,力诺科技园,力诺集团,
经十东路蟠龙路,经十东路七彩路,省委党校东校,东彩石,
两岔河,朝阳,北宅科,宅科,
南宅科,东泉村,黄歇村,南泉
","南泉,黄歇村,东泉村,南宅科,
宅科,北宅科,朝阳,两岔河,
东彩石,省委党校东校,经十东路七彩路,经十东路蟠龙路,
力诺集团,力诺科技园,山青院,邢村,
邢村立交桥东,邢村立交桥,田庄东,北胡,
经十路舜华路,经十路奥体西路2,经十路浆水泉路,燕山立交桥东
"
306路(舜泰北路凤凰路--济南职业学院),普通公交,,22.61277,济南公交集团东部公交第二分公司,"舜泰北路凤凰路,舜泰广场,舜华路南口,北胡,
中心医院东院,凤山路经十路,金域华府西门,兴港路凤山路,
兴港路中段,崇璟小学,兴港路凤歧路,雪山路兴港路,
临港南区,田庄西,田庄东,潘庄,
邢村立交桥,邢村立交桥东,邢村,山青院,
力诺科技园,力诺集团,经十东路蟠龙路,超算科技园西门,
蟠龙路虎山北路,蟠龙路虎山路,历城二中彩石校区,虎山路七彩路,
西彩六合佳苑,临时站,旅游路彩龙路,商职学院,
济南职业学院","济南职业学院,商职学院,旅游路彩龙路,临时站,
西彩六合佳苑,虎山路七彩路,历城二中彩石校区,蟠龙路虎山路,
蟠龙路虎山北路,超算科技园西门,经十东路蟠龙路,力诺集团,
力诺科技园,山青院,邢村,邢村立交桥东,
邢村立交桥,潘庄,田庄东,田庄西,
临港南区,雪山路兴港路,兴港路凤歧路,崇璟小学,
兴港路中段,兴港路凤山路,金域华府西门,凤山路经十路,
中心医院东院,北胡,舜华路南口,舜泰广场,
舜泰北路凤凰路"
308路(孙村新区--花园路二环东路),普通公交,0540--1900,26.75958,济南公交集团东部公交第四分公司,"孙村新区,山东英才学院,大正路科荟路,埠东村,
埠东村西,新东佳苑,高新区第一中学,辛庄,
省水利工程局,康山,世纪大道春暄路,世纪大道春秀路,
山东省康复医院,唐冶,世纪大道唐冶西路,世纪大道龙凤山路,
章灵,章灵西,安家东,世纪大道凤鸣路,
安家,世纪大道凤山路,义和庄南,世纪大道凤凰路,
邓家,牛旺庄,康虹路颖秀路,新东方花园,
新生活家园,贤文小区,康虹路正丰路,花园东路正丰路,
花园东路奥体西路,十里河东,十里河,十里河西,
历城五中,花园路华信路,市口腔医院历城院区,花园路二环东路
","花园路二环东路,市口腔医院历城院区,花园路华信路,历城五中,
十里河西,十里河,十里河东,花园东路奥体西路,
花园东路正丰路,康虹路正丰路,贤文小区,新生活家园,
新东方花园,康虹路颖秀路,牛旺庄,邓家,
世纪大道凤凰路,义和庄南,世纪大道凤山路,安家,
世纪大道凤鸣路,安家东,章灵西,章灵,
世纪大道龙凤山路,世纪大道唐冶西路,唐冶,山东省康复医院,
世纪大道春秀路,世纪大道春暄路,康山,省水利工程局,
辛庄,高新区第一中学,新东佳苑,埠东村西,
埠东村,大正路科荟路,山东英才学院,孙村新区
"
311路(鸡山村--洪家楼),普通公交,0540--1740,31.11592,济南公交集团东部公交第一分公司,"鸡山村,白谷堆村,马头山村,山庄,
山东职业学院,东港沟,博世磨具公司,山东公路技师学院,
经十东路彩龙路,经十东路七彩路,经十东路蟠龙路,力诺集团,
力诺科技园,山青院,邢村,邢村立交桥东,
邢村立交桥,田庄东,山东建筑大学,山东省体育训练中心,
世纪大道凤鸣路,世纪大道凤礼路,世纪大道凤歧路,世纪大道凤山路,
世纪大道刘智远路,世纪大道凤凰路,邓家,牛旺庄,
工业南路舜华路,贤文庄,工业南路正丰路,丁家庄东,
丁家庄西,工业南路化纤厂路,工业南路彤霞路,工业南路华信路,
七里河,七里河路南口,七里河小区,七里河路华能路,
花园路二环东路,洪家楼","洪家楼,花园路二环东路,七里河路华能路,七里河小区,
七里河路南口,七里河,工业南路华信路,工业南路彤霞路,
工业南路化纤厂路,丁家庄西,丁家庄东,工业南路正丰路,
贤文庄,工业南路舜华路,牛旺庄,邓家,
世纪大道凤凰路,世纪大道刘智远路,世纪大道凤山路,世纪大道凤歧路,
世纪大道凤礼路,世纪大道凤鸣路,山东省体育训练中心,山东建筑大学,
田庄东,邢村立交桥,邢村立交桥东,邢村,
山青院,力诺科技园,力诺集团,经十东路蟠龙路,
经十东路七彩路,经十东路彩龙路,山东公路技师学院,博世磨具公司,
东港沟,山东职业学院,山庄,马头山村,
白谷堆村,鸡山村"
312路(九如山--燕山立交桥北),普通公交,,43.45165,济南公交集团东部公交第五分公司,"九如山,葫芦峪,葫芦峪北,赵家庄村,
枣林新村,枣林,坔窝东,坔窝,
坔窝西,东岭角,西岭角东,西岭角,
西营,西营交管所东,西营交管所,西营西,
丁家峪,历甲泉,石岭,黄鹿泉,
南龙湾居委会,南龙湾,龙湾,夏家村,
夏家村北,里子,里子北,寨而头南,
寨而头北,冶河小学,冶河南,冶河,
冶河北,蟠龙村,高家洼,伙路,
伙路北,济南护理职业学院,旅游路港西路,章锦,
章锦西,省临床中心蟠龙山院区,有兰峪,旅游路凤鸣路,
港沟中学,港沟,小汉峪东,小汉峪,
旅游路凤凰路,大汉峪,旅游路舜华南路,龙洞隧道东,
旅游路奥体东路,旅游路奥体西路,旅游路福地街,下井庄,
中井庄,浆水泉路旅游路,地矿家园,正大城市花园,
经十路浆水泉路,燕山立交桥东1,燕山立交桥北","燕山立交桥北,燕山立交桥东1,经十路浆水泉路,正大城市花园,
地矿家园,浆水泉路旅游路,中井庄,下井庄,
旅游路福地街,旅游路奥体西路,旅游路奥体东路,龙洞隧道东,
旅游路舜华南路,大汉峪,旅游路凤凰路,小汉峪,
小汉峪东,港沟,港沟中学,旅游路凤鸣路,
有兰峪,省临床中心蟠龙山院区,章锦西,章锦,
旅游路港西路,济南护理职业学院,伙路北,伙路,
高家洼,蟠龙村,冶河北,冶河,
冶河南,冶河小学,寨而头北,寨而头南,
里子北,里子,夏家村北,夏家村,
龙湾,南龙湾,南龙湾居委会,黄鹿泉,
石岭,历甲泉,丁家峪,西营西,
西营交管所,西营交管所东,西营,西岭角,
西岭角东,东岭角,坔窝西,坔窝,
坔窝东,枣林,枣林新村,赵家庄村,
葫芦峪北,葫芦峪,九如山"
313路(全福立交桥--相公吉祥苑),普通公交,,15.58086,济南公交集团东部公交第一分公司,"全福立交桥,全福立交桥东,工业北路电建路,齐鲁制药,
幸福苑,裕辛苑,黄台电厂,幸福柳广场西,
幸福柳广场,地铁张马屯站,张马屯东,工业北路开源路,
郭家,恒大城,王舍人街道办事处,工业北路坝王路,
市立三院,工业北路凤箫路,济钢西门,济钢,
济钢东门,工业北路凤鸣路,韩仓,郭店立交桥西,
机场路工业北路,机场路虞山路,虞山路机场路,相公庄,
相公吉祥苑","相公吉祥苑,相公庄,虞山路机场路,机场路虞山路,
机场路工业北路,郭店立交桥西,韩仓,工业北路凤鸣路,
济钢东门,济钢,济钢西门,工业北路凤箫路,
市立三院,工业北路坝王路,王舍人街道办事处,恒大城,
郭家,工业北路开源路,张马屯东,地铁张马屯站,
幸福柳广场,幸福柳广场西,黄台电厂,裕辛苑,
幸福苑,齐鲁制药,工业北路电建路,全福立交桥东,
全福立交桥"
317路(建大新校区--建大和平校区),普通公交,0640--2130,17.47196,济南公交集团东部公交第七分公司,"建大新校区,信息楼,图书馆,科学楼,
综合楼,新校区西门,雪山路兴港路,经十路奥体中路,
经十路浆水泉路,燕山立交桥东,葛家庄,和平路山大路,
和平路历山东路,和平路山师东路,建大和平校区","建大和平校区,和平路山师东路,和平路历山东路,和平路山大路,
葛家庄,燕山立交桥东,经十路浆水泉路,经十路奥体中路,
雪山路兴港路,新校区西门,综合楼,科学楼,
图书馆,信息楼,建大新校区"
